fr_no;x;y;w;h;cx;cy;cen_dep;dep_avg;orient;group
1060;615;321;17;138;623;390;0;9.20100196312232;53.515144;3
1060;633;309;9;155;637;386;0;0.0;185.67099;3
1061;242;259;54;220;269;369;12;14.256064378017449;50.576794;1
1061;288;250;90;226;333;363;10;10.853469759484346;11.2973795;1
1061;410;268;28;208;424;372;17;14.317645249913129;76.5252;1
1061;427;260;50;218;452;369;11;10.993272133999671;185.0988;1
1061;471;283;36;188;489;377;11;10.989704943907773;69.345245;2
1061;398;285;22;182;409;376;18;14.223256965446913;319.17755;2
1061;537;316;34;134;554;383;18;19.696433058122423;78.23341;3
1061;575;315;20;136;585;383;24;23.67107598880597;174.70549;3
1061;600;307;22;148;611;381;25;24.650379503733955;92.406296;3
1062;230;259;54;220;257;369;12;12.082622088588955;74.48207;1
1062;280;253;90;226;325;366;10;10.606580224889397;335.55942;1
1062;404;271;28;208;418;375;11;11.345307980707155;60.248043;1
1062;418;260;50;218;443;369;11;10.991772097314415;202.2742;1
1062;462;283;36;188;480;377;15;14.055952778318453;18.24959;2
1062;390;284;22;182;401;375;14;14.72437359353357;164.1223;2
1062;529;314;34;134;546;381;26;25.005264177624838;221.23103;3
1062;565;316;20;136;575;384;26;25.438593945874022;109.02497;3
1062;587;310;22;148;598;384;24;21.242194043352637;83.31206;3
1063;212;259;54;220;239;369;12;14.615948926411972;51.453083;1
1063;261;254;90;226;306;367;10;10.632396134787237;24.936794;1
1063;386;265;28;208;400;369;13;14.463076865251983;49.803047;1
1063;401;260;50;218;426;369;11;11.201076227496747;150.97289;1
1063;441;284;36;188;459;378;11;11.198660562445811;72.763916;2
1063;370;281;22;182;381;372;19;14.252840124911879;287.45917;2
1063;505;315;34;134;522;382;18;19.89909258719674;74.60253;3
1063;545;319;20;136;555;387;25;24.05799144350306;171.89497;3
1063;567;312;22;148;578;386;25;24.996609446906394;204.58919;3
1064;194;260;54;220;221;370;12;14.369471759608127;43.323128;1
1064;243;257;90;225;288;369;10;10.527234358638681;24.256876;1
1064;368;267;28;208;382;371;14;14.367211275116192;37.142017;1
1064;385;259;46;222;408;370;11;11.197508690060891;148.27849;1
1064;422;285;36;188;440;379;11;11.291248440541068;299.80353;2
1064;353;285;22;182;364;376;18;14.64257499611592;300.14282;2
1064;492;317;23;136;503;385;19;20.540495179157812;73.302246;3
1064;523;318;20;136;533;386;25;23.968803610808337;204.00232;3
1064;544;311;22;148;555;385;26;25.280552631583557;134.04248;3
1064;604;276;33;186;620;369;32;15.425889529586529;261.33594;4
1064;454;301;26;171;467;386;16;15.69333919866059;68.43141;8
1065;186;255;54;220;213;365;12;11.81175329311583;93.889465;1
1065;234;255;90;224;279;367;10;10.52509695453141;9.902697;1
1065;360;266;28;208;374;370;11;11.508838782173097;147.00488;1
1065;379;259;46;222;402;370;11;10.997616684463024;251.909;1
1065;411;280;36;188;429;374;16;14.053759364424023;246.38676;2
1065;341;288;22;182;352;379;18;15.557084077365369;136.20544;2
1065;484;314;22;136;495;382;26;25.908460539145153;201.2267;3
1065;508;316;27;140;521;386;26;25.623480585511473;244.81381;3
1065;537;315;22;148;548;389;25;18.704284097160556;76.71492;3
1065;585;276;52;196;611;374;17;14.645131042068371;233.44873;4
1065;441;298;26;170;454;383;16;16.34569325473027;270.3589;8
1066;174;260;54;220;201;370;11;12.75473506850244;49.1336;1
1066;224;252;90;224;269;364;10;10.63086229204157;355.21326;1
1066;353;268;28;208;367;372;11;12.152348446115127;122.30707;1
1066;366;258;46;222;389;369;11;11.148405048361768;166.26561;1
1066;402;279;36;188;420;373;11;12.316314747299845;98.09682;2
1066;333;283;22;182;344;374;18;14.762224604033474;93.02113;2
1066;466;314;34;134;483;381;29;24.969253326742173;71.93798;3
1066;498;312;26;140;511;382;25;25.85393784298551;118.52766;3
1066;526;310;22;148;537;384;25;23.95996104397424;95.887794;3
1066;575;277;52;196;601;375;31;20.520507403778925;210.63416;4
1066;436;299;26;170;449;384;16;15.979912141370866;272.11792;8
1066;619;302;20;162;629;383;0;0.6860053854679456;257.77637;4
1067;139;258;66;219;172;367;20;16.25573637097941;326.55096;1
1067;201;254;90;224;246;366;10;10.68024928528407;291.46713;1
1067;323;265;28;208;337;369;18;14.284299498673894;82.961044;1
1067;336;259;46;222;359;370;11;12.130195539547207;74.99896;1
1067;379;283;36;188;397;377;11;11.050778040810252;72.30823;2
1067;306;289;22;182;317;380;12;10.967660433890392;271.38535;2
1067;435;312;34;134;452;379;16;17.831796930081367;269.17963;3
1067;468;309;26;140;481;379;28;26.65048278717474;267.19818;3
1067;495;318;21;133;505;384;26;26.165465729629926;117.060814;3
1067;541;277;52;196;567;375;19;23.106285321291942;252.9139;4
1067;407;297;26;170;420;382;16;14.347499751392272;99.7165;8
1067;589;299;26;165;602;381;18;17.667308712758768;77.17127;4
1068;103;256;66;218;136;365;19;18.558769789777493;98.14931;1
1068;162;255;90;224;207;367;11;12.231660665036097;295.47336;1
1068;285;269;28;208;299;373;10;10.277887581814957;250.43042;1
1068;305;261;46;221;328;371;18;12.566923449708314;278.2329;1
1068;343;281;36;188;361;375;11;11.996907775215563;149.53513;2
1068;273;285;22;182;284;376;10;10.01949593674735;60.47824;2
1068;397;314;34;134;414;381;11;12.824638952161012;67.787415;3
1068;426;311;26;140;439;381;16;16.02037394875383;69.32972;3
1068;453;319;20;132;463;385;20;21.60917250009094;105.180756;3
1068;497;281;52;196;523;379;26;22.78827142435255;84.706085;4
1068;372;294;26;170;385;379;11;11.019564959277286;69.11844;8
1068;546;301;26;164;559;383;19;21.341524648043595;260.71957;4
1068;596;205;46;267;619;338;17;10.343113126533975;230.40645;6
1069;103;256;66;218;136;365;11;10.958617215634028;304.07706;1
1069;162;255;90;224;207;367;10;10.209664174915762;311.5006;1
1069;280;271;28;208;294;375;11;11.43125533926677;156.48535;1
1069;300;261;46;220;323;371;11;11.16010262956277;274.9811;1
1069;331;281;36;188;349;375;17;15.314965246023345;250.92578;2
1069;267;290;22;182;278;381;12;13.940452953643161;176.46654;2
1069;391;315;34;134;408;382;29;27.046078983443238;25.654743;3
1069;420;318;26;140;433;388;30;27.048978463965835;137.89731;3
1069;447;320;20;132;457;386;28;21.84051539154854;81.89157;3
1069;490;280;52;196;516;378;19;20.439398370866016;88.609;4
1069;363;294;26;170;376;379;16;18.22885363299898;337.47214;8
1069;538;304;26;164;551;386;18;18.785949567558543;68.11289;4
1069;575;205;67;272;608;341;9;8.442451006539699;104.36459;6
1070;83;255;66;218;116;364;11;11.376703803087581;7.2070856;1
1070;143;251;90;224;188;363;10;10.406145230321417;340.84286;1
1070;269;266;28;208;283;370;11;11.653038190498838;156.59033;1
1070;288;262;46;220;311;372;11;11.085704356786701;138.83282;1
1070;326;284;36;188;344;378;17;15.980234522118476;278.61963;2
1070;255;286;22;182;266;377;17;14.803994558951619;166.22208;2
1070;381;317;34;134;398;384;31;27.34046832606132;23.963844;3
1070;411;317;26;140;424;387;32;27.209815841575292;114.67226;3
1070;436;321;20;132;446;387;28;21.54045521899607;84.02979;3
1070;481;276;52;196;507;374;19;20.611401218906707;90.29568;4
1070;352;297;26;170;365;382;17;18.044733945995304;252.40646;8
1070;525;302;26;164;538;384;18;18.73582591120269;68.87492;4
1070;570;205;72;276;606;343;9;7.7894575177590095;222.32445;6
1071;38;254;74;223;75;365;19;15.982962873015937;313.77844;1
1071;105;252;90;224;150;364;10;10.67827755616373;344.22986;1
1071;234;265;28;208;248;369;18;12.921752838545286;261.6762;1
1071;246;259;46;220;269;369;14;13.076534847164142;108.04656;1
1071;287;286;36;188;305;380;11;11.089662597181231;53.53951;2
1071;221;284;22;182;232;375;0;8.040999539027572;164.98038;2
1071;345;316;34;134;362;383;17;17.968777761273277;69.71482;3
1071;373;315;27;126;386;378;21;25.569746227368807;135.16124;3
1071;399;316;20;119;409;375;29;27.65146970489816;252.50946;3
1071;441;278;52;196;467;376;20;22.759830707467465;289.23932;4
1071;320;297;26;170;333;382;12;13.523662596069878;260.23218;8
1071;480;302;32;160;496;382;29;23.882665983847915;93.219795;4
1071;528;204;86;271;571;339;0;15.474276126282328;105.95782;6
1071;600;214;39;254;619;341;0;4.570649407920745;244.49448;5
1072;1;246;66;222;34;357;17;12.140923693644833;86.32825;1
1072;68;244;90;224;113;356;10;10.555446748288357;68.65976;1
1072;198;263;28;208;212;367;18;13.228272485393639;75.20374;1
1072;215;255;46;220;238;365;14;12.40933960685046;89.62405;1
1072;252;281;36;188;270;375;11;11.104090291974883;69.6933;2
1072;183;281;22;182;194;372;12;10.738482598557498;277.85162;2
1072;307;310;34;134;324;377;17;17.81052749799831;85.69823;3
1072;336;317;26;126;349;380;21;26.047118162615266;280.44293;3
1072;360;316;20;118;370;375;29;28.128797210543866;2.8107245;3
1072;402;274;52;196;428;372;22;19.58748262845007;260.89035;4
1072;283;296;26;170;296;381;12;13.456942080812608;75.82846;8
1072;443;303;32;160;459;383;20;21.841881462932626;259.77313;4
1072;491;210;86;270;534;345;0;15.296759394590978;78.2425;6
1072;548;214;91;267;593;347;9;7.903219675909054;241.513;5
1073;1;246;35;233;18;362;9;5.179377746093745;292.53268;1
1073;30;245;98;236;79;363;9;9.612123649193697;345.66147;1
1073;163;265;28;208;177;369;11;11.03060899934483;160.48515;1
1073;179;255;46;220;202;365;11;11.100666212005208;160.17674;1
1073;218;282;36;188;236;376;17;15.772616990968077;269.9026;2
1073;147;285;22;182;158;376;13;13.07113166741215;165.37006;2
1073;276;317;33;114;292;374;31;29.927602225038108;8.108482;3
1073;305;322;22;111;316;377;32;30.24094484670042;339.0117;3
1073;329;319;20;118;339;378;23;22.35503793143363;89.65029;3
1073;368;287;51;180;393;377;21;20.282369105243475;77.92682;4
1073;252;297;26;170;265;382;21;20.059731442041926;196.65202;8
1073;412;307;32;160;428;387;22;21.784815812758577;57.86986;4
1073;455;219;81;251;495;344;10;11.076897671563726;115.49819;6
1073;509;226;104;252;561;352;7;7.642580040047621;46.08712;5
1073;586;241;50;217;611;349;7;5.372238141491903;246.11192;6
1073;623;196;19;267;632;329;0;0.0;185.67099;5
1074;1;246;35;233;18;362;9;5.179377746093745;292.53268;1
1074;30;245;98;236;79;363;9;9.612123649193697;345.66147;1
1074;163;265;28;208;177;369;11;11.03060899934483;160.48515;1
1074;179;255;46;220;202;365;11;11.100666212005208;160.17674;1
1074;218;282;36;188;236;376;17;15.772616990968077;269.9026;2
1074;147;285;22;182;158;376;13;13.07113166741215;165.37006;2
1074;276;317;33;114;292;374;31;29.927602225038108;8.108482;3
1074;305;322;22;111;316;377;32;30.24094484670042;339.0117;3
1074;329;319;20;118;339;378;23;22.35503793143363;89.65029;3
1074;368;287;51;180;393;377;21;20.282369105243475;77.92682;4
1074;252;297;26;170;265;382;21;20.059731442041926;196.65202;8
1074;412;307;32;160;428;387;22;21.784815812758577;57.86986;4
1074;455;219;81;251;495;344;10;11.076897671563726;115.49819;6
1074;509;226;104;252;561;352;7;7.642580040047621;46.08712;5
1074;586;241;50;217;611;349;7;5.372238141491903;246.11192;6
1074;623;196;19;267;632;329;0;0.0;185.67099;5
1075;1;246;35;233;18;362;9;5.326879676449756;303.00336;1
1075;30;245;98;236;79;363;9;9.486321471403695;344.60516;1
1075;163;265;28;208;177;369;11;10.984358611296637;173.39857;1
1075;179;255;46;220;202;365;11;11.281547190262486;232.09146;1
1075;218;282;36;188;236;376;17;16.510220565775416;281.2768;2
1075;147;285;22;182;158;376;11;11.617401630096554;174.45946;2
1075;276;317;33;114;292;374;30;29.130483695239718;17.293013;3
1075;305;322;22;111;316;377;32;30.421024718597607;359.82254;3
1075;329;319;20;118;339;378;23;20.43033745776613;82.67748;3
1075;368;287;51;180;393;377;21;20.932792018319056;81.79643;4
1075;252;297;26;170;265;382;21;21.579202039690337;212.11076;8
1075;412;307;32;160;428;387;23;22.368192986836483;280.99774;4
1075;455;219;81;251;495;344;10;10.692222347837612;130.60835;6
1075;509;226;104;252;561;352;7;7.570257505964668;68.36967;5
1075;586;241;50;217;611;349;10;5.838521048994356;336.164;6
1075;623;196;19;267;632;329;0;0.0;185.67099;5
1076;1;246;35;233;18;362;9;5.286760582044081;300.14792;1
1076;30;245;98;236;79;363;9;9.47209514223423;292.57507;1
1076;163;265;28;208;177;369;11;10.936719660250745;69.20002;1
1076;179;255;46;220;202;365;11;11.294423486120657;233.99335;1
1076;218;282;36;188;236;376;17;16.408133255857443;291.0491;2
1076;147;285;22;182;158;376;11;11.189899321617002;327.68738;2
1076;276;317;33;114;292;374;30;28.398384335710972;18.911182;3
1076;305;322;22;111;316;377;32;30.19130502222767;169.1156;3
1076;329;319;20;118;339;378;23;19.746789609332357;319.72772;3
1076;368;287;51;180;393;377;21;20.847327848141216;86.551704;4
1076;252;297;26;170;265;382;21;20.768822805713743;182.03244;8
1076;412;307;32;160;428;387;24;22.528431318642728;265.53894;4
1076;455;219;81;251;495;344;10;10.61311327530436;111.93201;6
1076;509;226;104;252;561;352;7;7.544358309947183;64.28995;5
1076;586;241;50;217;611;349;10;5.794833455291109;340.15408;6
1076;623;196;19;267;632;329;0;0.0;185.67099;5
1077;1;246;35;233;18;362;9;5.318693082999126;310.7789;1
1077;30;245;98;236;79;363;9;9.386869617864283;293.22543;1
1077;163;265;28;208;177;369;11;10.977767146194507;165.53815;1
1077;179;255;46;220;202;365;11;11.337694715154637;249.64592;1
1077;218;282;36;188;236;376;17;16.535178824770664;277.23456;2
1077;147;285;22;182;158;376;11;10.925415101528763;185.05815;2
1077;276;317;33;114;292;374;30;29.0515130280768;48.88046;3
1077;305;322;22;111;316;377;32;30.246533880372652;186.01245;3
1077;329;319;20;118;339;378;23;19.5852304639031;278.01892;3
1077;368;287;51;180;393;377;21;21.048714751900604;98.77331;4
1077;252;297;26;170;265;382;21;21.66480553605737;167.76967;8
1077;412;307;32;160;428;387;23;22.438784105808733;216.13702;4
1077;455;219;81;251;495;344;10;10.756424876335117;77.60117;6
1077;509;226;104;252;561;352;7;7.530929623327395;352.23312;5
1077;586;241;50;217;611;349;10;5.893446702169658;344.80154;6
1077;623;196;19;267;632;329;0;0.0;185.67099;5
1078;1;246;35;233;18;362;9;5.358085339151929;299.09225;1
1078;30;245;98;236;79;363;9;9.447115607148232;35.06289;1
1078;163;265;28;208;177;369;11;11.064940569701024;170.55244;1
1078;179;255;46;220;202;365;11;11.258609240819176;231.06772;1
1078;218;282;36;188;236;376;17;16.27532525680082;287.68823;2
1078;147;285;22;182;158;376;11;11.596154622772135;222.32979;2
1078;276;317;33;114;292;374;30;28.4364397744166;5.674358;3
1078;305;322;22;111;316;377;32;30.45808273586989;359.26083;3
1078;329;319;20;118;339;378;23;20.314264431174724;76.708176;3
1078;368;287;51;180;393;377;21;20.87010274620856;105.884926;4
1078;252;297;26;170;265;382;21;21.004385729690767;178.65398;8
1078;412;307;32;160;428;387;24;22.39746204540323;69.826706;4
1078;455;219;81;251;495;344;10;10.997828725011068;104.74989;6
1078;509;226;104;252;561;352;7;7.50286102344292;83.84089;5
1078;586;241;50;217;611;349;10;5.721585379707271;316.9808;6
1078;623;196;19;267;632;329;0;0.0;185.67099;5
1079;1;246;20;232;11;362;0;1.5698783046499;97.3385;1
1079;30;245;98;236;79;363;9;9.344803008392324;51.4137;1
1079;163;265;28;208;177;369;11;11.046532897176693;171.15735;1
1079;179;255;46;220;202;365;11;11.234511737917598;231.99382;1
1079;218;282;36;188;236;376;17;16.105259309526204;289.75183;2
1079;147;285;22;182;158;376;11;11.599286700262127;76.82681;2
1079;276;317;33;114;292;374;29;28.251241625818313;9.557667;3
1079;305;322;22;111;316;377;32;30.422780974163675;142.004;3
1079;329;319;20;118;339;378;23;20.614241609658045;74.22696;3
1079;368;287;51;180;393;377;21;20.5305179255526;90.64257;4
1079;252;297;26;170;265;382;20;20.871359857145787;184.47115;8
1079;412;307;32;160;428;387;23;22.053695815253686;94.11121;4
1079;455;219;81;251;495;344;10;10.919697447321656;79.13471;6
1079;509;226;104;252;561;352;7;7.427125785698827;81.69832;5
1079;586;241;50;217;611;349;10;5.843990816935475;335.18777;6
1079;623;196;19;267;632;329;0;0.0;185.67099;5
1080;1;246;20;232;11;362;0;1.5818731881673969;105.83741;1
1080;30;245;98;236;79;363;9;9.316771234260893;74.450195;1
1080;163;265;28;208;177;369;11;10.924565326056033;358.0456;1
1080;179;255;46;220;202;365;11;11.230367084156208;184.28247;1
1080;218;282;36;188;236;376;17;16.05778746053786;295.83252;2
1080;147;285;22;182;158;376;11;11.154698260712957;148.27657;2
1080;276;317;33;114;292;374;30;28.788420196503793;10.131673;3
1080;305;322;22;111;316;377;32;30.60417109344729;0.46756744;3
1080;329;319;20;118;339;378;23;19.939701147263545;48.721233;3
1080;368;287;51;180;393;377;21;20.085593816714184;86.28286;4
1080;252;297;26;170;265;382;21;20.852212029379732;192.5911;8
1080;412;307;32;160;428;387;24;21.90902790174812;319.55872;4
1080;455;219;81;251;495;344;10;11.127799875079742;87.082985;6
1080;509;226;104;252;561;352;7;7.467419472195989;286.6017;5
1080;586;241;50;217;611;349;10;6.038560303648863;244.56998;6
1080;623;196;19;267;632;329;0;0.0;185.67099;5
1081;1;246;20;232;11;362;0;1.5818731881673969;105.83741;1
1081;30;245;98;236;79;363;9;9.316771234260893;74.450195;1
1081;163;265;28;208;177;369;11;10.924565326056033;358.0456;1
1081;179;255;46;220;202;365;11;11.230367084156208;184.28247;1
1081;218;282;36;188;236;376;17;16.05778746053786;295.83252;2
1081;147;285;22;182;158;376;11;11.154698260712957;148.27657;2
1081;276;317;33;114;292;374;30;28.788420196503793;10.131673;3
1081;305;322;22;111;316;377;32;30.60417109344729;0.46756744;3
1081;329;319;20;118;339;378;23;19.939701147263545;48.721233;3
1081;368;287;51;180;393;377;21;20.085593816714184;86.28286;4
1081;252;297;26;170;265;382;21;20.852212029379732;192.5911;8
1081;412;307;32;160;428;387;24;21.90902790174812;319.55872;4
1081;455;219;81;251;495;344;10;11.127799875079742;87.082985;6
1081;509;226;104;252;561;352;7;7.467419472195989;286.6017;5
1081;586;241;50;217;611;349;10;6.038560303648863;244.56998;6
1081;623;196;19;267;632;329;0;0.0;185.67099;5
1082;1;246;20;232;11;362;0;1.5773351395971784;102.531906;1
1082;30;245;98;236;79;363;9;9.27890121712455;52.104065;1
1082;163;265;28;208;177;369;11;10.90318978510516;42.34258;1
1082;179;255;46;220;202;365;11;11.242075463740345;193.5617;1
1082;218;282;36;188;236;376;16;16.004328884688753;282.65295;2
1082;147;285;22;182;158;376;11;11.153528834626977;174.47163;2
1082;276;317;33;114;292;374;30;28.32136438548155;344.73;3
1082;305;322;22;111;316;377;32;30.709718651696544;16.885874;3
1082;329;319;20;118;339;378;23;20.059751573086025;78.00984;3
1082;368;287;51;180;393;377;21;20.116735300937872;100.669106;4
1082;252;297;26;170;265;382;21;20.485923887190715;174.71101;8
1082;412;307;32;160;428;387;23;21.95841257963264;283.27298;4
1082;455;219;81;251;495;344;10;11.243887801180588;90.61701;6
1082;509;226;104;252;561;352;7;7.472415934260606;275.73813;5
1082;586;241;50;217;611;349;10;5.986765680060401;266.3907;6
1082;623;196;19;267;632;329;0;0.0;185.67099;5
1083;1;246;20;232;11;362;0;1.5759787485192038;108.09853;1
1083;30;245;98;236;79;363;9;9.349497098066456;67.82201;1
1083;163;265;28;208;177;369;11;10.972795209735247;107.05489;1
1083;179;255;46;220;202;365;11;11.318119108807993;245.62097;1
1083;218;282;36;188;236;376;16;16.080341292028677;292.3868;2
1083;147;285;22;182;158;376;11;10.999053448950129;191.41522;2
1083;276;317;33;114;292;374;29;27.565867737753447;190.25807;3
1083;305;322;22;111;316;377;32;30.21737285562657;23.485413;3
1083;329;319;20;118;339;378;23;19.6921493172924;79.78187;3
1083;368;287;51;180;393;377;21;20.860270328650635;93.551186;4
1083;252;297;26;170;265;382;21;20.5353600463701;177.00093;8
1083;412;307;32;160;428;387;23;22.087926821496733;343.47284;4
1083;455;219;81;251;495;344;10;11.308169921562806;93.13017;6
1083;509;226;104;252;561;352;7;7.45694120647627;306.02188;5
1083;586;241;50;217;611;349;7;5.058300816166378;174.67233;6
1083;623;196;19;267;632;329;0;0.0;185.67099;5
1084;1;246;20;232;11;362;0;1.5759787485192038;108.09853;1
1084;30;245;98;236;79;363;9;9.349497098066456;67.82201;1
1084;163;265;28;208;177;369;11;10.972795209735247;107.05489;1
1084;179;255;46;220;202;365;11;11.318119108807993;245.62097;1
1084;218;282;36;188;236;376;16;16.080341292028677;292.3868;2
1084;147;285;22;182;158;376;11;10.999053448950129;191.41522;2
1084;276;317;33;114;292;374;29;27.565867737753447;190.25807;3
1084;305;322;22;111;316;377;32;30.21737285562657;23.485413;3
1084;329;319;20;118;339;378;23;19.6921493172924;79.78187;3
1084;368;287;51;180;393;377;21;20.860270328650635;93.551186;4
1084;252;297;26;170;265;382;21;20.5353600463701;177.00093;8
1084;412;307;32;160;428;387;23;22.087926821496733;343.47284;4
1084;455;219;81;251;495;344;10;11.308169921562806;93.13017;6
1084;509;226;104;252;561;352;7;7.45694120647627;306.02188;5
1084;586;241;50;217;611;349;7;5.058300816166378;174.67233;6
1084;623;196;19;267;632;329;0;0.0;185.67099;5
1085;1;246;20;232;11;362;0;1.5709466635903506;112.572945;1
1085;30;245;98;236;79;363;9;9.190779810652575;64.464966;1
1085;163;265;28;208;177;369;11;10.948336297410913;112.50517;1
1085;179;255;46;220;202;365;11;11.350914572682198;239.25864;1
1085;218;282;36;188;236;376;16;16.020173897884984;284.24213;2
1085;147;285;22;182;158;376;11;10.91536503992969;182.72643;2
1085;276;317;33;114;292;374;29;27.871803717512208;322.12805;3
1085;305;322;22;111;316;377;32;30.32736010978575;161.72026;3
1085;329;319;20;118;339;378;23;19.42588148815617;57.205254;3
1085;368;287;51;180;393;377;20;20.609931760368884;105.778564;4
1085;252;297;26;170;265;382;21;20.755492203122017;169.34904;8
1085;412;307;32;160;428;387;24;21.916854753516215;234.82793;4
1085;455;219;81;251;495;344;10;11.333489074591192;94.86751;6
1085;509;226;104;252;561;352;7;7.447853716325491;308.92688;5
1085;586;241;50;217;611;349;7;4.968536600816535;179.92918;6
1085;623;196;19;267;632;329;0;0.0;185.67099;5
1086;1;246;20;232;11;362;0;1.698255456886286;124.554;1
1086;30;245;98;236;79;363;9;9.184504680528903;301.95767;1
1086;163;265;28;208;177;369;11;10.79550572804618;109.79673;1
1086;179;255;46;220;202;365;11;11.497283806502328;252.36484;1
1086;218;282;36;188;236;376;16;16.14560940433756;285.2561;2
1086;147;285;22;182;158;376;10;10.378540615608651;204.4798;2
1086;276;317;33;114;292;374;29;28.734097297614838;17.57741;3
1086;305;322;22;111;316;377;32;29.869109053627373;3.0769525;3
1086;329;319;20;118;339;378;23;19.553769919750742;75.097466;3
1086;368;287;51;180;393;377;20;20.859243873208694;115.32472;4
1086;252;297;26;170;265;382;21;21.05400804361034;213.27608;8
1086;412;307;32;160;428;387;23;21.62652816495472;168.97113;4
1086;455;219;81;251;495;344;10;11.411106869535066;88.24424;6
1086;509;226;104;252;561;352;7;7.458918992018565;307.09906;5
1086;586;241;50;217;611;349;7;4.781588465926459;84.93267;6
1086;623;196;19;267;632;329;0;0.0;185.67099;5
1087;1;246;20;232;11;362;0;1.698255456886286;124.554;1
1087;30;245;98;236;79;363;9;9.184504680528903;301.95767;1
1087;163;265;28;208;177;369;11;10.79550572804618;109.79673;1
1087;179;255;46;220;202;365;11;11.497283806502328;252.36484;1
1087;218;282;36;188;236;376;16;16.14560940433756;285.2561;2
1087;147;285;22;182;158;376;10;10.378540615608651;204.4798;2
1087;276;317;33;114;292;374;29;28.734097297614838;17.57741;3
1087;305;322;22;111;316;377;32;29.869109053627373;3.0769525;3
1087;329;319;20;118;339;378;23;19.553769919750742;75.097466;3
1087;368;287;51;180;393;377;20;20.859243873208694;115.32472;4
1087;252;297;26;170;265;382;21;21.05400804361034;213.27608;8
1087;412;307;32;160;428;387;23;21.62652816495472;168.97113;4
1087;455;219;81;251;495;344;10;11.411106869535066;88.24424;6
1087;509;226;104;252;561;352;7;7.458918992018565;307.09906;5
1087;586;241;50;217;611;349;7;4.781588465926459;84.93267;6
1087;623;196;19;267;632;329;0;0.0;185.67099;5
1088;30;245;98;236;79;363;9;9.184504680528903;301.95767;1
